,ementa,tema_resposta_modelo,probabilidade_predicao,tema_correto,modelo_acertou
1420,"Acrescenta dispositivo ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para dispor sobre a inaplicabilidade de escusas absolutórias aos crimes cometidos no âmbito da violência doméstica e familiar.",Direitos Humanos e Minorias,0.635,Direitos Humanos e Minorias,Sim
1421,"Dispõe sobre a obrigatoriedade do exame de prevenção do câncer ginecológico para as funcionárias públicas federais.
NOVA EMENTA DO SUBSTITUTIVO: Dispõe sobre a propiciação de consultas às trabalhadoras e servidoras públicas para atenção integral à saúde da mulher, nas situações que especifica.",Direitos Humanos e Minorias,0.695,Direitos Humanos e Minorias,Sim
1422,"Institui a meia-entrada para professores da rede pública e privada em estabelecimentos que promovam cultura e lazer, e dá outras providências.","Arte, Cultura e Religião",0.93,"Arte, Cultura e Religião",Sim
1423,Dispõe sobre a instituição do dia da família e dá outras providências.,Direitos Humanos e Minorias,0.9,Direitos Humanos e Minorias,Sim
1424,Dispõe sobre autorização para que navios militares estrangeiros trafeguem pelo mar territorial brasileiro e nele permaneçam e determina outras providências.,Direitos Humanos e Minorias,0.4875,Direitos Humanos e Minorias,Sim
1425,"Dispõe sobre a imprescritibilidade dos crimes praticados contra a mulher no âmbito familiar e doméstico, acrescentando o art. 119-A no Código Penal, Decreto-Lei nº 2.848, de 7 de dezembro de 1940.",Direitos Humanos e Minorias,0.66,Direitos Humanos e Minorias,Sim
1426,"ACRESCENTA PARAGRAFO UNICO AO ARTIGO 13 DA LEI COMPLEMENTAR 11, DE 25 DE MAIO DE 1971, QUE ""INSTITUI O PROGRAMA DE ASSISTENCIA AO TRABALHADOR RURAL E DA OUTRAS PROVIDENCIAS.",Trabalho e Emprego,0.495,Educação,Não
1427,ESTABELECE A APOSENTADORIA DA EMPREGADA DOMESTICA AOS 30 (TRINTA) ANOS DE SERVIÇO.,Trabalho e Emprego,0.845,Trabalho e Emprego,Sim
1428,"Altera o parágrafo único do art. 2º, os §§ 3º e 5º do art. 121, o inciso I do art. 122 e acrescenta o § 2º ao art. 123, da Lei nº 8.069, de 13 de julho de 1990 - Estatuto da Criança e do Adolescente.",Direitos Humanos e Minorias,0.7,Direitos Humanos e Minorias,Sim
1429,"DA NOVA REDAÇÃO AO ARTIGO NONO DA LEI COMPLEMENTAR 11, DE 25 DE MAIO DE 1971, QUE INSTITUIU O PROGRAMA DE ASSISTENCIA AO TRABALHADOR RURAL.",Trabalho e Emprego,0.5433333333333333,Previdência e Assistência Social,Não
1430,"Acrescenta Capítulo à lei nº 8.080, de 19 de setembro de 1990.",Direitos Humanos e Minorias,0.81,Direitos Humanos e Minorias,Sim
1431,Dá nova redação ao § 3º do artigo 226 da Constituição Federal.,Direitos Humanos e Minorias,0.5948333333333333,Direitos Humanos e Minorias,Sim
1432,"Altera a redação do art. 235 do Código Penal Militar, excluindo do nome jurídico o termo ""pederastia"" e do texto a expressão ""homossexual ou não"" e acrescentando parágrafo único, para excepcionar a incidência.",Direito Penal e Processual Penal,0.37,Direito Penal e Processual Penal,Sim
1433,"REGULAMENTA PARTE DO PARAGRAFO QUARTO DO ARTIGO 199 DA CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL, RELATIVAMENTE A DOAÇÃO DE ORGÃOS, TECIDOS E SUBSTANCIAS HUMANAS PARA FINS DE TRANSPLANTE, PESQUISA E TRATAMENTO.",Direitos Humanos e Minorias,0.6175,Educação,Não
1434,"Acrescenta artigo à Consolidação das Leis do Trabalho, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para dispor sobre o afastamento do trabalho durante o período menstrual da empregada.",Direitos Humanos e Minorias,0.94,Direitos Humanos e Minorias,Sim
1435,REAJUSTA OS VENCIMENTOS DOS CARGOS EFETIVOS E EM COMISSÃO DOS QUADROS DE PESSOAL DAS SECRETARIAS DOS ORGÃOS DO PODER JUDICIARIO DA UNIÃO E DO TRIBUNAL DE JUSTIÇA DO DISTRITO FEDERAL E TERRITORIOS.,Trabalho e Emprego,0.79625,Trabalho e Emprego,Sim
1436,Autoriza o Poder Executivo a criar o Programa de Cultura Familiar (PCF) e dá outras providências.,Direitos Humanos e Minorias,0.83,Direitos Humanos e Minorias,Sim
1437,"Dispõe sobre a obrigatoriedade de informação, na comercialização de alimentos processados que contém Organismos Geneticamente Modificados.",Direitos Humanos e Minorias,0.5,Direitos Humanos e Minorias,Sim
1438,Dispõe sobre o direito à modificação da orientação sexual em atenção a Dignidade Humana.,Saúde,0.5277499999999999,Direitos Humanos e Minorias,Não
1439,"Cria o Fundo Nacional de Prevenção e de Combate ao Alcoolismo, e dá outras providências.",Saúde,0.78,Saúde,Sim
1440,"Introduz § 3º no art. 14 da Lei nº 7.210, de 11 de junho de 1984 - Lei das Execuções Penais.",Direitos Humanos e Minorias,0.44583333333333336,Saúde,Não
1441,"Acrescenta parágrafo 3º ao art. 79 da Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as Diretrizes e Bases da Educação Nacional.",Direitos Humanos e Minorias,0.5,Direitos Humanos e Minorias,Sim
1442,"AUTORIZA O PODER EXECUTIVO A ABRIR, PELO MINISTERIO DA SAUDE, O CREDITO ESPECIAL DE Cr$ 60.000.000,00 (SESSENTA MILHÕES DE CRUZEIROS), DESTINADO A CONSTRUÇÃO DE EDIFICIO PARA SERVIÇOS HOSPITALARES E DE MATERNIDADE NO BAIRRO DAS ROCAS, EM NATAL, NO RIO GRANDE DO NORTE.",Direitos Humanos e Minorias,0.99,Direitos Humanos e Minorias,Sim
1443,"Dispõe sobre o pagamento em pecúnia do auxílio alimentação, limita as empresas emissoras de cartão vale-alimentação e vale-refeição a cobrança de taxa única de no máximo 3% sobre o valor da venda a ser retida dos estabelecimentos comerciais credenciados e dá outras providencias, em virtude dos efeitos econômicos gerados pela pandemia do coronavírus (covid-19).",Direitos Humanos e Minorias,0.33,Previdência e Assistência Social,Não
1444,Torna obrigatória a inclusão de dispositivo de segurança que impeça a reutilização nas seringas descartáveis.,Direitos Humanos e Minorias,0.8,Saúde,Não
1445,Institui o Dia 18 de Junho como Dia Nacional do Orgulho Autista e dá outras providências.,Saúde,0.465,Saúde,Sim
1446,REGULAMENTA A CONTAGEM DO TEMPO DE FERIAS NÃO GOZADAS PARA EFEITO DE APOSENTADORIA DOS FUNCIONARIOS PUBLICOS.,Trabalho e Emprego,0.96,Trabalho e Emprego,Sim
1447,Dispõe sobre os horários de funcionamento das delegacias de Polícia especializadas em atendimento à mulher.,Direitos Humanos e Minorias,0.73,Direitos Humanos e Minorias,Sim
1448,"Estabelece normas gerais para aprimoramento da educação especial, por meio das Rodas de Conversas Integradas, que serão realizadas com a finalidade de apoiar os estudantes com deficiência e seus familiares na inclusão escolar, no âmbito dos sistemas públicos de ensino da educação básica.",Direitos Humanos e Minorias,0.435,Direitos Humanos e Minorias,Sim
1449,"Altera os arts. 14 e 199 da Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para assegurar tratamento humanitário à mulher em trabalho de parto, bem como assistência integral à sua saúde e à do nascituro, promovida pelo poder público, e para vedar a utilização de algemas em mulheres durante o trabalho de parto.",Direitos Humanos e Minorias,0.847,Direitos Humanos e Minorias,Sim
1450,DISPÕE SOBRE A INCIDENCIA DO IMPOSTO DE RENDA NOS CASOS QUE MENCIONA.,Trabalho e Emprego,0.71,Trabalho e Emprego,Sim
1451,"Autoriza a criação de Distrito Agropecuário no Município de Urucurituba, no Estado do Amazonas, e dá outras providências.",Direitos Humanos e Minorias,1.0,Direitos Humanos e Minorias,Sim
1452,"Altera a Lei nº 7.394, de 29 de outubro de 1985, que ""regula o exercício da profissão de Técnico em Radiologia e dá outras providências"".",Trabalho e Emprego,0.665,Direitos Humanos e Minorias,Não
1453,CONCEDE AOS PESCADORES DIREITO A APOSENTADORIA ESPECIAL.,Trabalho e Emprego,0.975,Trabalho e Emprego,Sim
1454,"Altera a alínea ""e"" do artigo 38 da lei nº 4.117, de 27 de agosto de 1962, que ""Institui o Código Brasileiro de Telecomunicações"", extinguindo a obrigatoriedade da transmissão do programa Voz do Brasil.",Direitos Humanos e Minorias,0.6383333333333333,Direitos Humanos e Minorias,Sim
1455,"AUTORIZA O PODER EXECUTIVO A ABRIR, PELO MINISTERIO DA SAUDE, O CREDITO ESPECIAL DE Cr$ 1.000.000,00, PARA ATENDER A DESPESAS COM A REALIZAÇÃO DO DECIMO PRIMEIRO CONGRESSO BRASILEIRO DE PROCTOLOGIA.",Direitos Humanos e Minorias,0.985,Direitos Humanos e Minorias,Sim
1456,"Atualiza a redação da Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, na parte que dispõe sobre os órgãos da Justiça do Trabalho, e dá outras providências.",Direitos Humanos e Minorias,0.515,Direitos Humanos e Minorias,Sim
1457,"Altera o art. 49 da Lei nº 8.171, de 17 de janeiro de 1991, com o objetivo de incluir como beneficiários de crédito rural as comunidades quilombolas, ribeirinhas e quebradoras de coco babaçu, atingidos por barragens e assentados da reforma agrária.",Direitos Humanos e Minorias,0.465,Direitos Humanos e Minorias,Sim
1458,"Altera o art. 18 da Lei nº 8.213, de 24 de julho de 1991, para reduzir em cinco anos o limite de idade para aposentadoria dos trabalhadores rurais que comprovadamente exerçam atividade rural sob exposição de agentes nocivos à saúde ou à integridade física.",Trabalho e Emprego,0.91,Trabalho e Emprego,Sim
1459,CONCEDE AUXILIO A CRECHE TENDA DO CAMINHO E DA OUTRAS PROVIDENCIAS.,Direitos Humanos e Minorias,0.3725,Educação,Não
1460,Determina a interdição de estabelecimentos e instituições que facilitem ou promovam a exploração sexual comercial e o aliciamento de crianças e adolescentes.,Saúde,0.79625,Saúde,Sim
1461,"Institui isenção do Imposto sobre Produtos Industrializados - IPI, na aquisição de automóveis por mulheres, vítimas de violência, que utilizem veículo automotivo na sua atividade laboral e que sejam empresárias individuais formalizadas como Microempreendedora Individual (MEI) ou que prestem serviços por período superior a um ano.",Direitos Humanos e Minorias,0.5425,Direitos Humanos e Minorias,Sim
1462,Dispõe sobre o direito de organização e sindicalização dos servidores públicos civis e dá outras providências.,Trabalho e Emprego,0.505,Trabalho e Emprego,Sim
1463,"Altera o art. 121, §2º, Inciso VII, e art. 129, §12 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal e o art. 1º da Lei nº 8.072, de 25 de julho de 1990 - Lei dos Crimes Hediondos.",Direitos Humanos e Minorias,0.395,Direito Penal e Processual Penal,Não
1464,"ISENTA DO IMPOSTO DE IMPORTAÇÃO, INCLUSIVE DE CONSUMO E DE TODAS AS TAXAS, COM EXCEÇÃO DA PREVIDENCIA SOCIAL, A MATERIAL CINEMATOGRAFICO IMPORTADO PELA FIRMA MESBLA S.A., E LIDER CINEMATOGRAFICA ESTUDIOS E LABORATORIOS LTDA.","Arte, Cultura e Religião",0.36,"Arte, Cultura e Religião",Sim
1465,"Altera a Lei nº 7.716, de 5 de janeiro de 1989, a fim de aumentar a pena do crime resultante das condutas fabricar, comercializar, distribuir ou veicular símbolos, emblemas, ornamentos, distintivos ou propaganda que utilizem a cruz suástica ou gamada para fins de divulgação do nazismo.",Direitos Humanos e Minorias,0.4725,Direitos Humanos e Minorias,Sim
1466,Dispõe sobre a meia-entrada em espetáculos que proporcionam lazer e entretenimento e dá outras providências.,"Arte, Cultura e Religião",0.89,"Arte, Cultura e Religião",Sim
1467,Dispõe sobre requisitos para a aposentadoria de professores da rede pública de educação infantil e de ensino fundamental e médio.,Trabalho e Emprego,0.765,Trabalho e Emprego,Sim
1468,"Altera o art. 3º da Lei nº 8.666 de 21 de junho de 1993, para incluir o inciso V no § 2º, e o § 14, a fim de assegurar preferência às empresas que tenham programas pró-equidade de gênero, identidade de gênero, orientação sexual e/ou raça/etnia, bem como projetos de inserção de idosos e idosas no mercado de trabalho como critério de desempate no processo licitatório.",Direitos Humanos e Minorias,0.425,Direitos Humanos e Minorias,Sim
1469,DISPÕE SOBRE O CONTRATO DE TRABALHO DA TERCEIRA IDADE.,Trabalho e Emprego,0.785,Trabalho e Emprego,Sim
1470,"ALTERA A REDAÇÃO DO PARAGRAFO SEXTO DO ARTIGO TERCEIRO DA LEI 5890, DE 08 DE JUNHO DE 1973.",Trabalho e Emprego,0.9425,Trabalho e Emprego,Sim
1471,"MODIFICA A REDAÇÃO DO 'CAPUT' DO ARTIGO 27 DO DECRETO-LEI 1445, DE 13 DE FEVEREIRO DE 1976, QUE REAJUSTA OS VENCIMENTOS E SALARIOS DOS SERVIDORES CIVIS E DA OUTRAS PROVIDENCIAS.",Trabalho e Emprego,0.765,Trabalho e Emprego,Sim
1472,DISPÕE SOBRE A OBRIGATORIEDADE DE AS EMPRESAS CINEMATOGRAFICAS PRODUZIREM FILMES HISTORICOS.,"Arte, Cultura e Religião",0.705,"Arte, Cultura e Religião",Sim
1473,Dispõe sobre a inclusão do tipo penal de aborto como modalidade de crime hediondo.,Direitos Humanos e Minorias,0.58,"Agricultura, Pecuária, Pesca e Extrativismo",Não
1474,"Dá nova redação aos arts. 4º e 8º da Lei nº 10.931, de 2 de agosto de 2004, que tratam de patrimônio de afetação de incorporações imobiliárias, dispõe sobre o tratamento tributário a ser dado às receitas mensais auferidas pelas empresas construtoras nos contratos de construção de moradias firmados dentro do Programa Minha Casa, Minha Vida - PMCMV, atribui à Agência Nacional de Telecomunicações - ANATEL as atribuições de apurar, constituir, fiscalizar e arrecadar a Contribuição para o Fomento da Radiodifusão.",Direitos Humanos e Minorias,0.462,Direito Civil e Processual Civil,Não
1475,"AUTORIZA O PODER EXECUTIVO A CONCEDER O AUXILIO ESPECIAL DE Cr$ 500.000,00, DESTINADO AS OBRAS DE ASSISTENCIA SOCIAL DA ASSOCIAÇÃO DE ASSISTENCIA A MATERNIDADE E INFANCIA N.S. DA SAUDE, DO BAIRRO JAÇANÃ, SÃO PAULO.",Direitos Humanos e Minorias,0.83,Direitos Humanos e Minorias,Sim
1476,"MODIFICA O ARTIGO 101, PARAGRAFO SEXTO DO REGIMENTO INTERNO DA CAMARA DOS DEPUTADOS.",Direitos Humanos e Minorias,0.91,Direitos Humanos e Minorias,Sim
1477,"INTRODUZ MODIFICAÇÃO NO DECRETO-LEI 2171, DE 13 DE NOVEMBRO DE 1984, DETERMINANDO PRAZO PARA O PAGAMENTO DE BENEFICIOS PREVIDENCIARIOS REAJUSTADOS.",Trabalho e Emprego,0.765,Trabalho e Emprego,Sim
1478,Atribuir responsabilidade à União pelo pagamento do auxílio-funeral a famílias carentes.,Direitos Humanos e Minorias,0.79,Direitos Humanos e Minorias,Sim
1479,"MODIFICA A REDAÇÃO DO ARTIGO 446 E DE SEU PARAGRAFO UNICO DA CONSOLIDAÇÃO DAS LEIS DO TRABALHO, APROVADA PELO DECRETO-LEI Nº 5.452, DE 01 DE MAIO DE 1943.",Trabalho e Emprego,0.53,Direitos Humanos e Minorias,Não
1480,Institui o Programa de Assistência aos Povos da Floresta - Programa Renda Verde.,Direitos Humanos e Minorias,0.815,Direitos Humanos e Minorias,Sim
1481,"Dispõe sobre a isenção do Imposto sobre Produtos Industrializados -IPI e do Imposto de Importação - II, na aquisição de equipamentos por pessoas portadoras de necessidades especiais.",Saúde,0.315,Saúde,Sim
1482,Aumenta as penas previstas nos arts. 133 e 134 do Código Penal.,Direitos Humanos e Minorias,0.635,Saúde,Não
1483,"Modifica dispositivos da Lei nº 9.503, de 23 de setembro de 1997.",Direitos Humanos e Minorias,0.445,Educação,Não
1484,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para os fins que estabelece.",Direitos Humanos e Minorias,0.9080952380952383,Direitos Humanos e Minorias,Sim
1485,"ACRESCENTA ALINEA AO ART 38 DA LEI 4117, DE 27 DE AGOSTO DE 1962, QUE 'INSTITUI O CODIGO BRASILEIRO DE TELECOMUNICAÇÕES'.",Direitos Humanos e Minorias,0.65,"Arte, Cultura e Religião",Não
1486,"Institui o Seguro Solidariedade para as vítimas e familiares atingidos por calamidades, desastres e tragédias na forma que especifica.",Direitos Humanos e Minorias,0.6446666666666665,Direitos Humanos e Minorias,Sim
1487,Cria no âmbito da Câmara dos Deputados o Observatório de Políticas Públicas de Combate ao Racismo.,Direitos Humanos e Minorias,0.83,Direitos Humanos e Minorias,Sim
1488,"REGULAMENTA O ARTIGO 153, PARAGRAFO SEGUNDO, II DA CONSTITUIÇÃO E DA OUTRAS PROVIDENCIAS.",Trabalho e Emprego,0.7075,Trabalho e Emprego,Sim
1489,"CONSIDERA COMO TEMPO DE EFETIVO SERVIÇO, PARA EFEITO DE APOSENTADORIA, O EXERCIDO NA FUNÇÃO DE JUIZ DE CASAMENTO.",Trabalho e Emprego,0.995,Trabalho e Emprego,Sim
1490,CONCEDE APOSENTADORIA A TELEFONISTA AOS 25 ANOS DE SERVIÇO.,Trabalho e Emprego,0.975,Trabalho e Emprego,Sim
1491,DISPÕE SOBRE A REALIZAÇÃO DE PLEBISCITO PARA A CRIAÇÃO DO ESTADO DO IGUAÇU.,Direitos Humanos e Minorias,0.99,Direitos Humanos e Minorias,Sim
1492,"Dispõe sobre as atividades de redução de danos entre usuários de drogas endovenosas, visando a prevenir e reduzir a transmissão de doenças e da Síndrome da Imunodeficiência Adquirida - AIDS/SIDA e dá outras providências.",Saúde,0.7525,Saúde,Sim
1493,"CONCEDE APOSENTADORIA ESPECIAL AOS RADIALISTAS, NAS CONDIÇÕES QUE ESPECIFICA, E DETERMINA OUTRAS PROVIDENCIAS.",Trabalho e Emprego,0.9075,Trabalho e Emprego,Sim
1494,"Altera as Leis nº 8.080, de 19 de setembro de 1990 e nº 9.656, de 3 de junho de 1998.",Direitos Humanos e Minorias,0.9420000000000001,Direitos Humanos e Minorias,Sim
1495,"Altera o § 2º do art. 10 da Lei nº 9.263, de 12 de janeiro de 1996, que trata do planejamento familiar, de forma a permitir a realização da laqueadura tubárea nos períodos de parto ou aborto em caso de cesária anterior.",Direitos Humanos e Minorias,0.855,Direitos Humanos e Minorias,Sim
1496,"AUTORIZA O PODER EXECUTIVO, A ABRIR PELO MINISTERIO DA SAUDE, O CREDITO ESPECIAL DE Cr$ 200.000,00, PARA A REALIZAÇÃO NA CAPITAL DO ESTADO DE SÃO PAULO, DO PRIMEIRO CONGRESSO NACIONAL DOS OFICIAIS DE FARMACIA.",Direitos Humanos e Minorias,0.96,Direitos Humanos e Minorias,Sim
1497,"AUTORIZA A UNIÃO A ESTABELECER UM CONVENIO COM A FUNDAÇÃO CINEMATECA BRASILEIRA, E DA OUTRAS PROVIDENCIAS.",Direitos Humanos e Minorias,0.685,"Arte, Cultura e Religião",Não
1498,"CONCEDE A FEDERAÇÃO DAS BANDEIRANTES DO BRASIL UMA SUBVENÇÃO DE DE Cr$ 10.000.000,00, PARA CONCLUSÃO E APARELHAMENTO DO EDIFICIO QUE ESTA CONSTRUINDO PARA SUA SEDE, NESTA CAPITAL.",Direitos Humanos e Minorias,0.825,Direitos Humanos e Minorias,Sim
1499,"Dispõe sobre a aposentadoria do servidor público policial, nos termos do artigo 40, §4º, inciso III, da Constituição Federal, conforme redação da Emenda Constitucional, nº 47, de 05 de julho de 2005.",Trabalho e Emprego,0.715,Direitos Humanos e Minorias,Não
1500,Institui o Dia Nacional dos Surdos.,Direitos Humanos e Minorias,0.63,Direitos Humanos e Minorias,Sim
1501,MANDA CONTAR PARA TODOS OS EFEITOS O TEMPO DE SERVIÇO QUE MENCIONA (EXERCICIO DE MANDATO ELETIVO).,Trabalho e Emprego,0.8,Trabalho e Emprego,Sim
1502,"Altera as Leis nºs 8.213, de 24 de julho de 1991, e 8.742, de 7 de dezembro de 1993, para dispor sobre o pagamento de auxílio-funeral pelo Regime Geral de Previdência Social.",Trabalho e Emprego,0.39,Previdência e Assistência Social,Não
1503,"ESTENDE AOS FUNCIONARIOS CIVIS E MILITARES, APOSENTADOS COM O TITULO DE INVALIDO, AS VANTAGENS DA LEI 1050, DE 03.01.50, QUE REAJUSTA OS PROVENTOS DA INATIVIDADE DOS SERVIDORES PUBLICOS CIVIS E MILITARES ATACADOS DE MOLESTIA GRAVE, CONTAGIOSA OU INCURAVEL, ESPECIFICADA EM LEI.",Trabalho e Emprego,0.96,Trabalho e Emprego,Sim
1504,"CONCEDE APOSENTADORIA POR TEMPO DE SERVIÇO AO MOTORISTA DE TAXI, NA FORMA QUE ESPECIFICA.",Trabalho e Emprego,0.93,Trabalho e Emprego,Sim
1505,“Estabelece a isenção da cobrança de sepultamento a todos os doadores de órgão e dá outras providências”,Direitos Humanos e Minorias,0.6763333333333332,Direitos Humanos e Minorias,Sim
1506,"AUTORIZA O PODER EXECUTIVO A ABRIR, PELO MINISTERIO DO TRABALHO, INDUSTRIA E COMERCIO, O CREDITO ESPECIAL DE Cr$ 1.000.000,00, PARA OCORRER AS DESPESAS DO III CONGRESSO NACIONAL DE VIAJANTES E REPRESENTANTES COMERCIAIS DO BRASIL, A REALIZAR-SE EM BRASILIA EM MAIO DE 1960.",Direitos Humanos e Minorias,0.965,Direitos Humanos e Minorias,Sim
1507,"CONCEDE POR INTERMEDIO DO MINISTERIO DA EDUCAÇÃO E SAUDE, UM CREDITO ESPECIAL DE Cr$ 200.000,00, DESTINADO A CONCLUSÃO DAS OBRAS, DA SANTA CASA DE MISERICORDIA E MATERNIDADE PROMISSÃO NO ESTADO SÃO PAULO (SP).",Direitos Humanos e Minorias,0.9,Direitos Humanos e Minorias,Sim
1508,"Dispõe sobre o estabelecimento de estrutura de preços para os derivados de petróleo, estipula normas de comercialização para o álcool e derivados de petróleo no país e dá outras providências.",Direitos Humanos e Minorias,0.625,Direitos Humanos e Minorias,Sim
1509,Institui o Dia do Artista Circense no calendário de efemérides nacionais.,Direitos Humanos e Minorias,0.51,"Arte, Cultura e Religião",Não
1510,Cria o Fundo para a Aposentadoria do Povo Brasileiro - FAPB e dá outras providências.,Trabalho e Emprego,0.74,Trabalho e Emprego,Sim
1511,"Institui a gratificação de estímulo à docência no magistério superior, e dá outras providências.",Trabalho e Emprego,0.645,Trabalho e Emprego,Sim
1512,"Cria a Aposentadoria Especial para os trabalhadores expostos a agentes físicos, químicos e biológicos em nível acima da tolerância de nocividade à saúde ou de integridade física nas Empresas de Fabricação de Motores Elétricos, como também de suas peças e acessórios.",Trabalho e Emprego,1.0,Trabalho e Emprego,Sim
1513,"MODIFICA A LEI 6750, DE 10 DE DEZEMBRO DE 1979, E DA OUTRAS PROVIDENCIAS.",Direitos Humanos e Minorias,0.575,Direitos Humanos e Minorias,Sim
1514,"ACRESCENTA PARAGRAFOS AO ARTIGO 273 DA CONSOLIDAÇÃO DAS LEIS DO TRABALHO, APROVADA PELO DECRETO-LEI 5452, DE PRIMEIRO DE MAIO DE 1943, DISPONDO SOBRE A JORNADA PARCIAL DE TRABALHO DA MULHER.",Direitos Humanos e Minorias,0.935,Direitos Humanos e Minorias,Sim
1515,INSTITUI A CARTEIRA DE IDENTIDADE PARLAMENTAR.,Direitos Humanos e Minorias,0.91,Direitos Humanos e Minorias,Sim
1516,Estabelece restrições para o exercício de cargos que menciona e dá outras providências.,Direitos Humanos e Minorias,0.7908333333333334,Direito Penal e Processual Penal,Não
1517,"DISPÕE SOBRE A CONTAGEM, PELA PREVIDENCIA SOCIAL, DE TEMPO DE SERVIÇO PUBLICO ESTADUAL E MUNICIPAL DE SEUS SEGURADOS.",Trabalho e Emprego,0.9475,Trabalho e Emprego,Sim
1518,"""Altera a Lei nº 7.498, de 25 de junho de 1986, que regulamenta o exercício da enfermagem, para nela incluir a obrigatoriedade da realização de exame de suficiência para obtenção de registro profissional"".",Direitos Humanos e Minorias,0.7028333333333333,Direitos Humanos e Minorias,Sim
1519,"REGULAMENTA O ARTIGO 159, INCISO I, ALINEA 'C', DA CONSTITUIÇÃO, INSTITUINDO O FUNDO CONSTITUCIONAL DO NORTE (FNO), O FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE) E O FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO) E DANDO OUTRAS PROVIDENCIAS.",Direitos Humanos e Minorias,0.565,Direitos Humanos e Minorias,Sim
1520,Dispõe sobre a prescrição dos débitos estatais de natureza alimentar.,Direitos Humanos e Minorias,0.768160173160173,Direitos Humanos e Minorias,Sim
1521,"DISPÕE SOBRE A IDENTIFICAÇÃO, DELIMITAÇÃO E DEMARCAÇÃO DE TERRAS INDIGENAS NO TERRITORIO FEDERAL DE RORAIMA, NOS TERMOS QUE ESPECIFICA.",Direitos Humanos e Minorias,0.755,Direitos Humanos e Minorias,Sim
1522,"Dá nova redação ao artigo 128 do Decreto - lei nº 2.848, de 7 de dezembro de 1940 - Código Penal",Direitos Humanos e Minorias,0.75,Direitos Humanos e Minorias,Sim
1523,"Acrescenta inciso ao art. 3º da Lei nº 10.169, de 29 de dezembro de 2000, de forma a isentar do pagamento de emolumentos cartoriais os aposentados e pensionistas que recebam até um salário mínimo mensal.",Trabalho e Emprego,0.84,Trabalho e Emprego,Sim
1524,"Acrescenta inciso ao art. 3º da Lei nº 10.169, de 29 de dezembro de 2000, de forma a isentar do pagamento de emolumentos cartoriais os aposentados e pensionistas que recebam até um salário mínimo mensal.",Trabalho e Emprego,0.84,Trabalho e Emprego,Sim
1525,"Acrescenta inciso ao art. 3º da Lei nº 10.169, de 29 de dezembro de 2000, de forma a isentar do pagamento de emolumentos cartoriais os aposentados e pensionistas que recebam até um salário mínimo mensal.",Trabalho e Emprego,0.84,Trabalho e Emprego,Sim
1526,"Acrescenta inciso ao art. 3º da Lei nº 10.169, de 29 de dezembro de 2000, de forma a isentar do pagamento de emolumentos cartoriais os aposentados e pensionistas que recebam até um salário mínimo mensal.",Trabalho e Emprego,0.84,Trabalho e Emprego,Sim
1527,"IMPRIME NOVA REDAÇÃO AO ARTIGO 37 DA LEI 3807, DE 26 DE AGOSTO DE 1960, PARA EQUIPARAR O VALOR DA PENSÃO AO DOS PROVENTOS DE APOSENTADORIA.",Trabalho e Emprego,0.95,Trabalho e Emprego,Sim
1528,Dispõe sobre a criação de banco de DNA (ácido desoxirribonucléico) para o cadastramento de acusados em crimes sexuais e pedofilia.,Direitos Humanos e Minorias,0.44,Saúde,Não
1529,"DA NOVA REDAÇÃO AO ARTIGO PRIMEIRO DA LEI Nº 5.285 DE 05 DE MAIO DE 1967, DISPONDO SOBRE A OCUPAÇÃO DE PROPRIOS DA UNIÃO POR SERVIDORES PUBLICOS.",Trabalho e Emprego,0.76,Trabalho e Emprego,Sim
1530,"Inclui dispositivo na Lei nº 10.406, de 10 de Janeiro de 2002 - Código Civil, dispondo sobre o registro público da gravidez.",Direitos Humanos e Minorias,0.985,Direitos Humanos e Minorias,Sim
1531,"Altera a redação do Art. 492, caput, da Consolidação das Leis do Trabalho, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para conferir estabilidade ao portador do vírus HIV.",Direitos Humanos e Minorias,0.5,Saúde,Não
1532,"REVOGA O DECRETO-LEI Nº 158, DE 10 DE FEVEREIRO DE 1967, E RESTABELECE AS LEIS NºS 3.501, DE 21 DE DEZEMBRO DE 1958, 4.262 E 4.263, DE 12 DE SETEMBRO DE 1963 QUE DISPÕEM SOBRE A APOSENTADORIA DO AERONAUTA.",Trabalho e Emprego,0.8,Trabalho e Emprego,Sim
1533,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para elevar a pena do crime de injúria racial, previsto no §3º do art. 140 e altera o art. 1º da Lei nº 8.072, de 25 de julho de 1990 (Lei de Crimes Hediondos), para incluir o crime de injúria racial, previsto no §3º do art. 140, no rol dos crimes hediondos, e dá outras providências.",Direitos Humanos e Minorias,0.415,Direitos Humanos e Minorias,Sim
